id;company_name;address;phone;nif_number;commercial_register;bank_account;mandating_establishment;email;website;description;contact_firstname;contactlastname
1;cot cot mairie;devant équipe de recherche;0139634657;adepte;en dehors de;broum dehors à l'encontre de;suffisamment;Basile.Rolland@gmail.com;en bas de du fait que;identifier;contre;en vérité absolument en decà de
2;mairie en guise de;également efficace;0729603294;adversaire ressusciter;tranquille recta chef de cuisine;efficace conseil d’administration;au cas où aussitôt que malgré;Josse_Paris@hotmail.fr;par suite de;altruiste outre propre;bè terne;à l'entour de
3;tard drelin tant;lâche rudement;+33 588557491;suivant baiser aussi;au dépens de étant donné que;vlan en dépit de jusqu’à ce que;bien que;Joachim92@gmail.com;plic après que;après-demain spécialiste émérite;assez triompher;obtenir
4;commis de cuisine à l'encontre de bè;carrément d’autant que extrêmement;+33 341013341;marron;si conseil d’administration très;dès que;adepte parfois;Aleaume55@yahoo.fr;tandis que;sur de;oh inventer suffisamment;du moment que
5;badaboum à partir de après-demain;équipe bang;+33 615902835;vérifier miaou de la part de;près raide lorsque;tracer géométrique;chef concurrence;Brigitte_Menard97@hotmail.fr;ouf bof;grrr direction;malade propre;extrêmement
6;à condition que de manière à;porte-parole proclamer;0578627798;ha amorcer corps enseignant;affable aïe conseil municipal;mal aux alentours de;hé;Florestan_Leclercq80@hotmail.fr;au cas où même si;fonctionnaire vraiment;camarade fade assurément;au point que pourvu que
7;à la merci spécialiste;areu areu;0612114219;si bien que préférer;deçà quitte à;partenaire adepte;en decà de;Nathan76@yahoo.fr;exécuter coupable;équipe de recherche cadre même si;partout de sorte que;circulaire à peu près
8;jeune enfant assassiner équipe de recherche;examiner opérer puisque;0795711282;cot cot assimiler;parlementaire;parmi;sauvage;Armine_Collet3@hotmail.fr;à cause de;environ;au-devant nonobstant mairie;spécialiste rentrer
9;restaurer soudain;plic divinement tchou tchouu;+33 652546352;d'abord de sorte que;à défaut de;aimable;concevoir juriste tirer;Ursule83@gmail.com;sus;collègue;comme dépouiller pourpre;peu
10;d’autant que;même si figurer brusque;+33 338797071;guider de la part de traverser;tellement;aux alentours de sauf à zzzz;miaou;Penelope.Carpentier76@gmail.com;boulanger;antagoniste;grandement;électorat avare direction
